method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,num_channels
GuidedGradCAM,0.9253588516746412,0.9221902871391134,0.9253588516746412,5,1,1,1,0,1,0,1,1,2
GuidedGradCAM,0.8535885167464113,0.851324364699925,0.8535885167464115,1,1,1,1,0,0,0,1,1,3
GuidedGradCAM,0.9358851674641148,0.9337292100015444,0.9358851674641148,2,1,1,1,0,0,0,1,1,3
GuidedGradCAM,0.9339712918660288,0.9329420158776546,0.9339712918660288,3,1,1,1,0,0,0,1,1,3
GuidedGradCAM,0.9205741626794258,0.9190289703153232,0.9205741626794258,4,1,1,1,0,0,0,1,1,3
GuidedGradCAM,0.8870813397129187,0.882563500107956,0.8870813397129187,5,1,1,1,0,0,0,1,1,3
GuidedGradCAM,0.7952153110047847,0.7750139450826018,0.7952153110047847,1,1,0,1,0,0,0,1,1,4
GuidedGradCAM,0.9205741626794258,0.9174964092127852,0.9205741626794258,2,1,0,1,0,0,0,1,1,4
GuidedGradCAM,0.9311004784688997,0.9289752285532352,0.9311004784688997,3,1,0,1,0,0,0,1,1,4
GuidedGradCAM,0.8650717703349283,0.8561721049505379,0.8650717703349282,4,1,0,1,0,0,0,1,1,4
GuidedGradCAM,0.9263157894736842,0.9242354083400884,0.9263157894736842,5,1,0,1,0,0,0,1,1,4
GuidedGradCAM,0.9263157894736842,0.9243806489811284,0.9263157894736842,1,0,0,1,0,0,0,1,1,5
GuidedGradCAM,0.9253588516746412,0.923061665681582,0.9253588516746412,2,0,0,1,0,0,0,1,1,5
GuidedGradCAM,0.9272727272727272,0.9245264378298133,0.9272727272727272,3,0,0,1,0,0,0,1,1,5
GuidedGradCAM,0.936842105263158,0.935989417896702,0.936842105263158,4,0,0,1,0,0,0,1,1,5
GuidedGradCAM,0.9119617224880384,0.9091118481228072,0.9119617224880384,5,0,0,1,0,0,0,1,1,5
GuidedGradCAM,0.9157894736842104,0.9126060332137226,0.9157894736842104,1,0,0,0,0,0,0,1,1,6
GuidedGradCAM,0.8889952153110049,0.8864697007676919,0.8889952153110048,2,0,0,0,0,0,0,1,1,6
GuidedGradCAM,0.9186602870813396,0.9154796476914904,0.9186602870813396,3,0,0,0,0,0,0,1,1,6
GuidedGradCAM,0.9167464114832536,0.914152229285858,0.9167464114832536,4,0,0,0,0,0,0,1,1,6
GuidedGradCAM,0.910047846889952,0.9068356394813032,0.910047846889952,5,0,0,0,0,0,0,1,1,6
GuidedGradCAM,0.7980861244019137,0.7921732556990105,0.7980861244019138,1,0,0,0,0,0,0,1,0,7
GuidedGradCAM,0.8861244019138756,0.8842450558503145,0.8861244019138756,2,0,0,0,0,0,0,1,0,7
GuidedGradCAM,0.7990430622009569,0.7871055996706458,0.7990430622009569,3,0,0,0,0,0,0,1,0,7
GuidedGradCAM,0.8880382775119617,0.8862274815045831,0.8880382775119617,4,0,0,0,0,0,0,1,0,7
GuidedGradCAM,0.7349282296650719,0.7288181112219498,0.7349282296650718,5,0,0,0,0,0,0,1,0,7
DeepLift,0.9588516746411484,0.9577352699823988,0.9588516746411484,1,1,1,1,1,1,1,1,1,0
DeepLift,0.9272727272727272,0.9243068282932184,0.9272727272727272,2,1,1,1,1,1,1,1,1,0
DeepLift,0.9598086124401912,0.958254310230651,0.9598086124401912,3,1,1,1,1,1,1,1,1,0
DeepLift,0.936842105263158,0.9348501989385128,0.936842105263158,4,1,1,1,1,1,1,1,1,0
DeepLift,0.938755980861244,0.9369217136855112,0.938755980861244,5,1,1,1,1,1,1,1,1,0
DeepLift,0.9311004784688997,0.9290878247142796,0.9311004784688997,1,1,1,1,0,1,1,1,1,1
DeepLift,0.9511961722488038,0.9492566499789076,0.9511961722488038,2,1,1,1,0,1,1,1,1,1
DeepLift,0.9540669856459332,0.9528335230671828,0.9540669856459332,3,1,1,1,0,1,1,1,1,1
DeepLift,0.95311004784689,0.9518713904423788,0.95311004784689,4,1,1,1,0,1,1,1,1,1
