method,f1_micro,f1_macro,accuracy,fold_num,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,num_channels
LRP,0.9739450127877238,0.9297595455820112,0.9739450127877238,2,1,1,1,1,1,1,1,1,1,1,0,1,1
LRP,0.9733056265984654,0.9240366467493196,0.9733056265984654,3,1,1,1,1,1,1,1,1,1,1,0,1,1
LRP,0.9742647058823528,0.9282751791379592,0.9742647058823528,4,1,1,1,1,1,1,1,1,1,1,0,1,1
LRP,0.9659526854219948,0.9080622423000628,0.9659526854219948,5,1,1,1,1,1,1,1,1,1,1,0,1,1
LRP,0.970428388746803,0.9135318161422324,0.970428388746803,1,1,1,1,1,1,1,1,1,1,0,0,1,2
LRP,0.9633951406649616,0.8996584980434223,0.9633951406649616,2,1,1,1,1,1,1,1,1,1,0,0,1,2
LRP,0.9665920716112532,0.902142834500844,0.9665920716112532,3,1,1,1,1,1,1,1,1,1,0,0,1,2
LRP,0.9694693094629157,0.9136481553877752,0.9694693094629157,4,1,1,1,1,1,1,1,1,1,0,0,1,2
LRP,0.968190537084399,0.9075961382110348,0.968190537084399,5,1,1,1,1,1,1,1,1,1,0,0,1,2
LRP,0.9721867007672634,0.9203671425658018,0.9721867007672634,1,1,1,0,1,1,1,1,1,1,0,0,1,3
LRP,0.9641943734015346,0.9041476517692087,0.9641943734015346,2,1,1,0,1,1,1,1,1,1,0,0,1,3
LRP,0.9768222506393862,0.931248519660772,0.9768222506393862,3,1,1,0,1,1,1,1,1,1,0,0,1,3
LRP,0.9718670076726342,0.9236785049358788,0.9718670076726342,4,1,1,0,1,1,1,1,1,1,0,0,1,3
LRP,0.9721867007672634,0.9238137249156104,0.9721867007672634,5,1,1,0,1,1,1,1,1,1,0,0,1,3
LRP,0.969309462915601,0.9090777358279456,0.969309462915601,1,1,1,0,1,1,1,0,1,1,0,0,1,4
LRP,0.9718670076726342,0.91863610115309,0.9718670076726342,2,1,1,0,1,1,1,0,1,1,0,0,1,4
